bioproject,study_title,n_samples,paper_pmid,paper_doi,paper_title,paper_abstract_excerpt,search_status
PRJNA1016578,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co2_44_8 endosphere metagenome",1,,,,,pending
PRJNA1016579,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co3_14_51 endosphere metagenome",1,,,,,pending
PRJNA1016580,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co1_37_5 endosphere metagenome",1,,,,,pending
PRJNA1016581,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co2_68_28 endosphere metagenome",1,,,,,pending
PRJNA1016582,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co3_31_39 endosphere metagenome",1,,,,,pending
PRJNA1016583,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL1_34_16 endosphere metagenome",1,,,,,pending
PRJNA1016584,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL2_56_12 endosphere metagenome",1,,,,,pending
PRJNA1016585,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL3_98_5 endosphere metagenome",1,,,,,pending
PRJNA1016586,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co1_16_8 endosphere metagenome",1,,,,,pending
PRJNA1016587,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co2_62_24 endosphere metagenome",1,,,,,pending
PRJNA1016588,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co3_35_48 endosphere metagenome",1,,,,,pending
PRJNA1016589,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWA-24-3-CL2_69_25 endosphere metagenome",1,,,,,pending
PRJNA1016590,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co1_3_5 endosphere metagenome",1,,,,,pending
PRJNA1016591,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co2_41_10 endosphere metagenome",1,,,,,pending
PRJNA1016592,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co3_23_35 endosphere metagenome",1,,,,,pending
PRJNA1016593,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWD-24-1-CL2_58_25 endosphere metagenome",1,,,,,pending
PRJNA1016594,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co1_7_5 endosphere metagenome",1,,,,,pending
PRJNA1016595,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co2_54_22 endosphere metagenome",1,,,,,pending
PRJNA1016596,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co3_24_32 endosphere metagenome",1,,,,,pending
PRJNA1016597,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL1_25_23_RD_R2 endosphere metagenome",1,,,,,pending
PRJNA1016623,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL2_50_11 endosphere metagenome",1,,,,,pending
PRJNA1016624,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL3_75_7 endosphere metagenome",1,,,,,pending
PRJNA1016625,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co1_10_5 endosphere metagenome",1,,,,,pending
PRJNA1016626,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co2_58_19 endosphere metagenome",1,,,,,pending
PRJNA1016627,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-904-CL2_57_20 endosphere metagenome",1,,,,,pending
PRJNA1016628,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co2_51_17 endosphere metagenome",1,,,,,pending
PRJNA1016629,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL1_24_28 endosphere metagenome",1,,,,,pending
PRJNA1016630,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL2_65_22 endosphere metagenome",1,,,,,pending
PRJNA1016631,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co1_23_3 endosphere metagenome",1,,,,,pending
PRJNA1016632,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co2_52_27 endosphere metagenome",1,,,,,pending
PRJNA1016633,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co3_21_62 endosphere metagenome",1,,,,,pending
PRJNA1016634,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL1_34_5 endosphere metagenome",1,,,,,pending
PRJNA1016635,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL2_67_23 endosphere metagenome",1,,,,,pending
PRJNA1016637,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL1_33_12 endosphere metagenome",1,,,,,pending
PRJNA1016638,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL2_56_7 endosphere metagenome",1,,,,,pending
PRJNA1016639,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-307-CL1_26_33 endosphere metagenome",1,,,,,pending
PRJNA1016640,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-307-CL2_57_8 endosphere metagenome",1,,,,,pending
PRJNA1016641,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co1_31_6 endosphere metagenome",1,,,,,pending
PRJNA1016642,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co2_62_14 endosphere metagenome",1,,,,,pending
PRJNA1016643,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co3_27_41 endosphere metagenome",1,,,,,pending
PRJNA1016644,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-331-CL2_55_18 endosphere metagenome",1,,,,,pending
PRJNA1016645,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co1_12_7 endosphere metagenome",1,,,,,pending
PRJNA1016646,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co2_50_17 endosphere metagenome",1,,,,,pending
PRJNA1016647,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co3_15_40 endosphere metagenome",1,,,,,pending
PRJNA1016648,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-351-CL1_27_10 endosphere metagenome",1,,,,,pending
PRJNA1016649,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-351-CL2_54_28 endosphere metagenome",1,,,,,pending
PRJNA1016650,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-351-CL3_84_27 endosphere metagenome",1,,,,,pending
PRJNA1016651,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co1_10_3 endosphere metagenome",1,,,,,pending
PRJNA1016652,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co2_42_17 endosphere metagenome",1,,,,,pending
PRJNA1016653,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co3_11_46 endosphere metagenome",1,,,,,pending
PRJNA1016654,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-360-CL2_44_14 endosphere metagenome",1,,,,,pending
PRJNA1016655,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-360-CL3_72_12 endosphere metagenome",1,,,,,pending
PRJNA1016656,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co1_23_6 endosphere metagenome",1,,,,,pending
PRJNA1016657,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co2_62_25 endosphere metagenome",1,,,,,pending
PRJNA1016658,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co3_13_34 endosphere metagenome",1,,,,,pending
PRJNA1016659,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-388-CL1_25_34 endosphere metagenome",1,,,,,pending
PRJNA1016660,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-388-CL2_50_4 endosphere metagenome",1,,,,,pending
PRJNA1016661,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-388-CL3_88_3 endosphere metagenome",1,,,,,pending
PRJNA1016662,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co2_54_7 endosphere metagenome",1,,,,,pending
PRJNA1016663,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co3_8_57 endosphere metagenome",1,,,,,pending
PRJNA1016664,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-448-CL1_35_3 endosphere metagenome",1,,,,,pending
PRJNA1016665,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-470-CL2_38_23 endosphere metagenome",1,,,,,pending
PRJNA1016666,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co1_22_4 endosphere metagenome",1,,,,,pending
PRJNA1016667,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co3_6_53 endosphere metagenome",1,,,,,pending
PRJNA1016668,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL2_42_16 endosphere metagenome",1,,,,,pending
PRJNA1016669,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL3_77_6 endosphere metagenome",1,,,,,pending
PRJNA1016670,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co1_6_4 endosphere metagenome",1,,,,,pending
PRJNA1016671,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co2_47_23 endosphere metagenome",1,,,,,pending
PRJNA1016672,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co3_31_37 endosphere metagenome",1,,,,,pending
PRJNA1016673,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL2_37_16 endosphere metagenome",1,,,,,pending
PRJNA1016674,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL3_80_19 endosphere metagenome",1,,,,,pending
PRJNA1016675,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co2_60_28 endosphere metagenome",1,,,,,pending
PRJNA1016676,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co3_28_42 endosphere metagenome",1,,,,,pending
PRJNA1016677,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL1_28_5 endosphere metagenome",1,,,,,pending
PRJNA1016678,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL2_38_7 endosphere metagenome",1,,,,,pending
PRJNA1016679,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL3_83_27 endosphere metagenome",1,,,,,pending
PRJNA1016680,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co1_12_9 endosphere metagenome",1,,,,,pending
PRJNA1016681,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co2_69_13 endosphere metagenome",1,,,,,pending
PRJNA1016682,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co3_9_34 endosphere metagenome",1,,,,,pending
PRJNA1016683,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-86-CL2_69_17 endosphere metagenome",1,,,,,pending
PRJNA1016795,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL1_35_33 endosphere metagenome",1,,,,,pending
PRJNA1016796,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL2_39_29 endosphere metagenome",1,,,,,pending
PRJNA1016797,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL3_85_26 endosphere metagenome",1,,,,,pending
PRJNA1017086,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co1_30_3 endosphere metagenome",1,,,,,pending
PRJNA1017087,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co2_41_23 endosphere metagenome",1,,,,,pending
PRJNA1017089,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57 endosphere metagenome",1,,,,,pending
PRJNA1017090,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL1_28_16 endosphere metagenome",1,,,,,pending
PRJNA1017091,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL2_62_7 endosphere metagenome",1,,,,,pending
PRJNA1017092,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL3_93_10 endosphere metagenome",1,,,,,pending
PRJNA1017093,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co1_27_3 endosphere metagenome",1,,,,,pending
PRJNA1017094,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co2_50_25 endosphere metagenome",1,,,,,pending
PRJNA1017095,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL2_38_5 endosphere metagenome",1,,,,,pending
PRJNA1017096,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL3_81_33 endosphere metagenome",1,,,,,pending
PRJNA1017462,Rhizobiome of Ricinus communis,6,,,,,pending
PRJNA1017550,Drought studies,7,,,,,pending
PRJNA1020892,White maize rhizosphere studies,9,,,,,pending
PRJNA1022580,"16S, OmeSeq-qRRS, and shotgun sequencing of maize rhizosphere",4,,,,,pending
PRJNA1022846,,2,,,,,pending
PRJNA1029928,Rhizosphere soil Raw sequence reads,24,,,,,pending
PRJNA1033318,"The microbial communities of rhizosphere soils of Phragmites australis and bulk soils in Taihu Lake, China",3,,,,,pending
PRJNA1033771,Metagenomic sequencing of Rhizosphere microbiome of Arabidopsis,20,,,,,pending
PRJNA1039885,Microbial diversity in the rhizosphere of Phragmites australis,3,,,,,pending
PRJNA1040208,Rhizosphere soil metagenome Metagenome,20,,,,,pending
PRJNA1043713,soil metagenome,24,,,,,pending
PRJNA1043729,seawater Raw sequence reads,22,,,,,pending
PRJNA1045646,Metagenomes of Carex aquatilis rhizosphere and root samples from a pilot-scale constructed wetland treatment system for the remediation of oil sands process-affected water,24,,,,,pending
PRJNA1055283,,15,,,,,pending
PRJNA1058951,Microbiological Mechanism of Nitrogen Forms and Concentrations in Regulating Cadmium Accumulation in Crops following Stabilization in Contaminated Agricultural Soil,24,,,,,pending
PRJNA1061379,,27,,,,,pending
PRJNA1063725,Viral ecogenomics in the rhizosphere of native Antarctic vascular plants. Raw sequencing reads.,10,,,,,pending
PRJNA1066998,bacterial community data of Astragalus mongholicus,36,,,,,pending
PRJNA1067324,Host-mediated microbiome selection to improve drought tolerance of rice,37,,,,,pending
PRJNA1067393,Rhizosphere of Pteris vittata,25,,,,,pending
PRJNA1069314,Reclaimed water metagenome,13,,,,,pending
PRJNA1074526,Utilization of Citrus Microbiome in Rejuvenating Khasi Mandarin Plants affected by important Citrus Diseases,2,,,,,pending
PRJNA1078772,,36,,,,,pending
PRJNA1079048,tomaoto rhizosphere metagenome,12,,,,,pending
PRJNA1080489,rhizosphere microbiome metagenomics of plant,12,,,,,pending
PRJNA1081183,Reclaimed water April metagenome,14,,,,,pending
PRJNA1083094,Rhizosphere soil sample in herbal plant Metagenome,12,,,,,pending
PRJNA1083890,Bacterial community in the rhizosphere of Ruppia sinensis and Zostera japonica Raw sequence reads,8,,,,,pending
PRJNA1085293,Quorum sensing mediated bacterial interspecies communication in soybean rhizosphere,30,,,,,pending
PRJNA1090919,Microbiomes of ten diverse soil protists,11,,,,,pending
PRJNA1096928,Construction of high-quality genomes and gene catalogue for culturable microbes of sugarcane (Saccharum spp.),16,,,,,pending
PRJNA1100267,Noccaea root and soil metagenomes,18,,,,,pending
PRJNA1101696,rhizosphere soil Metagenome,9,,,,,pending
PRJNA1104571,Root microbiome in two canola genotypes with contrasting yield productivity,24,,,,,pending
PRJNA1104585,Isolates from croping systems,24,,,,,pending
PRJNA1108915,Metagenomes and metatranscriptomes of natural soil and Arabidopsis rhizosphere inoculated with Pseudomonas simiae WCS417,11,,,,,pending
PRJNA1110046,"Metagenomics investigation of wheat rhizosphere in the North West and Gauteng Provinces, South Africa,",8,,,,,pending
PRJNA1116623,Metagenomic sequencing in 83 plots,3,,,,,pending
PRJNA1119562,Soil metagenome Raw sequence reads,9,,,,,pending
PRJNA1121629,Functional metagenomics data from milkweed phyllospheres and rhizospheres,5,,,,,pending
PRJNA1123452,Microbial community diversity of Asparagus cochinchinensis,9,,,,,pending
PRJNA1124010,Metagenome of the Microbiome Associated with the Rhizosphere of Dactylorhiza traunsteineri,2,,,,,pending
PRJNA1124873,Amplicon and metagenome sequence data of rice root microbiome Raw sequence reads,2,,,,,pending
PRJNA1125628,Microbial N cycle functionality in the rhizosphere of rye,31,,,,,pending
PRJNA1126017,Wheat rhizosphere Raw sequence reads,2,,,,,pending
PRJNA1127303,Metagenomic data of rhizosphere soil during tomato growth period.,18,,,,,pending
PRJNA1128034,Shotgun metagenomics reveal a potential loss of functions in rhizosphere microbiome after wheat dwarfing,20,,,,,pending
PRJNA1128242,Wheat-rhizome-metagenome Raw sequence reads,6,,,,,pending
PRJNA1128356,,15,,,,,pending
PRJNA1129190,Inoculation with a rhizobacteria synthetic community enhances sugarcane stress resilience through targeted modulation of plant-microbe interactions,18,,,,,pending
PRJNA1130692,,12,,,,,pending
PRJNA1131028,soil metagenome,3,,,,,pending
PRJNA1131171,Reclaimed water metagenome -November,14,,,,,pending
PRJNA1131174,High throughput sequencing of rhizosphere soil microorganisms of three main tree species in Helan Mountain,9,,,,,pending
PRJNA1131609,,12,,,,,pending
PRJNA1131994,"Complex Synthetic Community inoculated-root microbiomes of Arabidopsis thaliana, Hordeum vulgare, and Lotus japonicus",354,,,,,pending
PRJNA1133100,Metagenomic sequencing of rhizosphere soil,9,,,,,pending
PRJNA1140101,,35,,,,,pending
PRJNA1140286,rhizosphere soil of Sophora japonica Raw sequence reads,9,,,,,pending
PRJNA1140407,the rhizosphere microbes for Brassica oleracea Raw sequence reads,21,,,,,pending
PRJNA1140885,,1,,,,,pending
PRJNA1140886,,1,,,,,pending
PRJNA1140887,,1,,,,,pending
PRJNA1140888,,1,,,,,pending
PRJNA1148231,Microbiomes associated with rice false smut (Ustilaginoidea virens) and the genomes of key isolated microorganisms,36,,,,,pending
PRJNA1148749,Human or Rice microbiome Raw sequence reads,33,,,,,pending
PRJNA1148772,,4,,,,,pending
PRJNA1152322,Virome in the rhizosphere soil of Casuarina equisetifolia Raw sequence reads,6,,,,,pending
PRJNA1152941,Nitrogen metabolism mediates the trade-off between plant growth-promotion and pathogen suppression during successive passaging of rhizosphere microbiome-shotgun metagenome,2,,,,,pending
PRJNA1153634,The metagenomic relevant the occurrence of root rot disease in wine grape,40,,,,,pending
PRJNA1155230,Metagenomic data of Dahongpao tea tree soil,6,,,,,pending
PRJNA1156343,Phragmites australis Raw sequence reads,2,,,,,pending
PRJNA1160829,soil metagenomic sequencing,6,,,,,pending
PRJNA1162681,Diversity and functional features of the root-associated bacteriome are closely dependent on grapevine susceptibility to Plasmopara viticola,18,,,,,pending
PRJNA1165971,Interplay Between Microorganisms and Vanadium: Adaptation and Transformation Dynamics in Soil-Plant Systems,2,,,,,pending
PRJNA1166242,Sorghum rhizosphere microbiome,3,,,,,pending
PRJNA1166458,Sorghum (Avenger) rhizosphere microbiome under soybean,3,,,,,pending
PRJNA1166463,Sorghum (NS55) rhizosphere microbiome under soybean,3,,,,,pending
PRJNA1166623,Sorghum (Avenger) rhizosphere microbiome,3,,,,,pending
PRJNA1166627,Sorghum rhizosphere (NS55) grown in soil without prior legume cultivation,3,,,,,pending
PRJNA1166630,Sorghum (Avenger) bulk soil microbiome,3,,,,,pending
PRJNA1166921,,30,,,,,pending
PRJNA1168160,Sorghum (NS55) rhizosphere microbiome under cowpea,3,,,,,pending
PRJNA1169405,Sequential propagation of a reproducible wheat rhizosphere microbiome,6,,,,,pending
PRJNA1169419,Rhizosphere metagenome Raw sequence reads,12,,,,,pending
PRJNA1170225,Microbial diversity of Allium ampeloprasum rhizosphere from chemical fertilizer plot,4,,,,,pending
PRJNA1170227,Microbial diversity of Allium ampeloprasum rhizosphere from Biofertilizer plot,4,,,,,pending
PRJNA1170280,Daucus carota Rhizosphere Microbiome,4,,,,,pending
PRJNA1170291,Microbial diversity of uncultivated bulk soil,4,,,,,pending
PRJNA1174881,Spartina alterniflora Raw sequence reads,4,,,,,pending
PRJNA1177211,Metagenomic sequencing of Spartina root microbiome,16,,,,,pending
PRJNA1180719,Microbial communities in antimony mine pioneer plant rhizosphere,6,,,,,pending
PRJNA1180987,Biochar-soil-earthworm-plant systems-Metagenome sequencing,16,,,,,pending
PRJNA1181896,Rhizosphere microbiome associated with the two ecotypes of Andropogon gerardii,24,,,,,pending
PRJNA1182100,metagenomic of plant root soil,15,,,,,pending
PRJNA1184367,Crop root bacterial and viral genome resources unveil novel species and conserved patterns of root microbiomes: metagenomic resource,403,,,,,pending
PRJNA1188780,,11,,,,,pending
PRJNA1189183,amplicon and metagenomic sequencing of Pogonatum cirratum (Raw sequence reads),1,,,,,pending
PRJNA1191511,Comparative Metagenomic Study of the Rhizospheric Microbiome of Ashwagandha Plant,5,,,,,pending
PRJNA1192032,,226,,,,,pending
PRJNA1192390,Macrogenome of Microbes in the Rhizosphere of Pinus massoniana,12,,,,,pending
PRJNA1192692,,2,,,,,pending
PRJNA1193482,soil Raw sequence reads,18,,,,,pending
PRJNA1193780,Selenium and Cadmium associated soil microbiome,9,,,,,pending
PRJNA1193808,Sutrl1 2 gene associated metagenomics,9,,,,,pending
PRJNA1193822,Rhizosphere microbiome analysis in rice under drip and flood conditions,8,,,,,pending
PRJNA1197982,Microbial diversity of different wine grape varieties,39,,,,,pending
PRJNA1198935,Metagenome sequencing of the rhizosphere microbiome of common beans tolerant to drought,23,,,,,pending
PRJNA1201563,The Rhizosphere Carbon Project,42,,,,,pending
PRJNA1210801,The tobacco root microbiome under host-mediated and pathogen-induced conditions Raw sequence reads,5,,,,,pending
PRJNA1211292,Asynchronous viral spread of two unrelated viruses determines Lettuce Big Vein Disease symptom development,31,,,,,pending
PRJNA1214415,New Autoinducing Peptides Regulate Antibiotic Production for Sculpting Microbiome,15,,,,,pending
PRJNA1215819,Endophytes associated with Rhizophora mangle and Avicenia germinans,6,,,,,pending
PRJNA1215964,Arabidopsis rhizosphere 16srRNA+meta+tran,20,,,,,pending
PRJNA1220575,,27,,,,,pending
PRJNA1220599,,27,,,,,pending
PRJNA1221226,Metagenome of tomato rhizosphere soil,40,,,,,pending
PRJNA1221371,Root metagenome,15,,,,,pending
